Catalog fields (go into Square) ,,,,,,,,,,Scent fields (power recommendations) ,,,,
Brand,Product Name,Concentration,Size,SKU (auto),Barcode / UPC,Price ($),Cost ($),Gender,Qty on Hand,Scent Family,Top Notes,Heart Notes,Base Notes,Description (optional)
Calvin Klein,one,EDT,200ml,CALVIN-KLEIN-ONE-EDT-200ML,,$75.00,,Masculine,3,Citrus,"Lemon, Bergamot, Cardamom, Pineapple","Nutmeg, Violet, Jasmine, Green Tea","Musk, Amber, Cedar, Sandalwood",
Calvin Klein,one shock for him,EDT,100ml,CALVIN-KLEIN-ONE-SHOCK-FOR-HIM-EDT-100ML,,$65.00,,Masculine,1,Aromatic,"Cucumber, Basil, Black Pepper","Tangerine, Wormwood, Lavender","Patchouli, Amber, Musk",
Calvin Klein,one shock for her,EDT,100ml,CALVIN-KLEIN-ONE-SHOCK-FOR-HER-EDT-100ML,,$65.00,,Feminine,1,Floral,"Raspberry, Peach, Bergamot","Rose, Orchid, Peony","Amber, Patchouli, Musk",
Calvin Klein,one shock for her,EDT,200ml,CALVIN-KLEIN-ONE-SHOCK-FOR-HER-EDT-200ML,,$75.00,,Feminine,1,Floral,"Raspberry, Peach, Bergamot","Rose, Orchid, Peony","Amber, Patchouli, Musk",
Jimmy Choo,MAN ORIGINAL,EDT,100ml,JIMMY-CHOO-MAN-ORIGINAL-EDT-100ML,,$95.00,,Masculine,2,Fougère,"Lavender, Honeydew, Mandarin","Pink Pepper, Geranium, Pineapple","Patchouli, Suede",
Jimmy Choo,MAN BLUE,EDT,100ml,JIMMY-CHOO-MAN-BLUE-EDT-100ML,,$95.00,,Masculine,1,Aromatic,"Grapefruit, Melon, Bergamot","Lavender, Violet Leaf","Vetiver, Patchouli, Musk",
Jimmy Choo,MAN EXTREME,EDP,50ml,JIMMY-CHOO-MAN-EXTREME-EDP-50ML,,$95.00,,Masculine,3,Woody,"Thyme, Pepper","Sage, Geranium, Nutmeg","Woody Notes",
Jimmy Choo,MAN INTENSE,EDT,100ml,JIMMY-CHOO-MAN-INTENSE-EDT-100ML,,$95.00,,Masculine,2,Woody,"Melon, Lavender, Mandarin Orange","Pepper, Geranium, Artemisia","Tonka Bean, Patchouli, Labdanum",
Issey Miyake,NUIT D'ISSEY,EDT,75ml,ISSEY-MIYAKE-NUIT-D-ISSEY-EDT-75ML,,$95.00,,Masculine,1,Woody,"Bergamot, Grapefruit, Black Pepper","Leather, Vetiver, Incense","Patchouli, Ebony Wood, Tonka Bean",
Issey Miyake,INTENSE,EDT,75ml,ISSEY-MIYAKE-INTENSE-EDT-75ML,,$85.00,,Masculine,1,Woody,"Yuzu, Bergamot, Orange, Mandarin Orange","Nutmeg, Lotus, Cardamom, Cinnamon, Saffron","Incense, Papyrus, Ambergris, Benzoin, Amber",
Issey Miyake,INTENSE,EDT,125ml,ISSEY-MIYAKE-INTENSE-EDT-125ML,,$95.00,,Masculine,2,Woody,"Yuzu, Bergamot, Orange, Mandarin Orange","Nutmeg, Lotus, Cardamom, Cinnamon, Saffron","Incense, Papyrus, Ambergris, Benzoin, Amber",
Guess,1981 Indigo,EDT,100ml,GUESS-1981-INDIGO-EDT-100ML,,$65.00,,Masculine,3,Aromatic,"Fig, Lavender, Sage, Bergamot","Coconut, Oakmoss, Iris, Tonka Bean","Cedar, Musk, Amber",
Guess,Seductive Homme Red,EDT,100ml,GUESS-SEDUCTIVE-HOMME-RED-EDT-100ML,,$65.00,,Masculine,3,Spicy,"Cinnamon, Lemon Zest, Fig","Kumquat, Orange Blossom, Geranium","Vanilla, Amber, Sandalwood",
Guess,By Marciano,EDT,100ml,GUESS-BY-MARCIANO-EDT-100ML,,$65.00,,Masculine,3,Woody,"Curaçao, Cardamom, Carambola Star Fruit, Grapefruit","Honeysuckle, Jasmine, Peony","Vanilla, Musk, Woody Notes",
Guess,Dare,EDT,100ml,GUESS-DARE-EDT-100ML,,$75.00,,Masculine,3,Floral,"Kumquat, Pear Blossom, Lemon Blossom","Cactus, Jasmine, Rose","Musk, Coconut, Woody Notes",
Guess,Seductive Homme,EDT,100ml,GUESS-SEDUCTIVE-HOMME-EDT-100ML,,$65.00,,Masculine,3,Aromatic,"Pink Pepper, Mandarin Orange, Cardamom","Orchid, Violet Leaf, Vetiver","Amber, Sandalwood, Patchouli, Musk",
Guess,Night,EDT,100ml,GUESS-NIGHT-EDT-100ML,,$75.00,,Masculine,2,Amber/Oriental,"Pepper, Grapefruit, Elemi","Geranium, Cedar, Vetiver","Vanilla, Labdanum, Patchouli",
Guess,Man,EDT,75ml,GUESS-MAN-EDT-75ML,,$55.00,,Masculine,1,Aromatic,"Wormwood","Lavender, Pepper, Ginger, Nutmeg","Fir, Musk, Sandalwood, Amber, Suede, Peru Balsam",
Bvlgari,BLV Pour Homme,EDT,100ml,BVLGARI-BLV-POUR-HOMME-EDT-100ML,,$145.00,,Masculine,2,Woody,"Ginger, Cardamom, Juniper","Nutmeg, Pepper, Tobacco","Patchouli, Cedar, Musk",
Bvlgari,Man in Black,EDP,100ml,BVLGARI-MAN-IN-BLACK-EDP-100ML,,$120.00,,Masculine,2,Amber/Oriental,"Rum, Spices","Tuberose, Iris, Leather","Tonka Bean, Benzoin, Guaiac Wood",
Bvlgari,Pour Homme,EDT,100ml,BVLGARI-POUR-HOMME-EDT-100ML,,$145.00,,Masculine,1,Citrus,"Bergamot, Mandarin","Tea, Pepper, Coriander","Cedar, Musk, Guaiac Wood",
Bvlgari,Pour Homme,EDP,100ml,BVLGARI-POUR-HOMME-EDP-100ML,,$145.00,,Masculine,1,Citrus,"Bergamot, Mandarin","Tea, Pepper, Coriander","Cedar, Musk, Guaiac Wood",
Bvlgari,Man Rain Essence,EDP,100ml,BVLGARI-MAN-RAIN-ESSENCE-EDP-100ML,,$120.00,,Masculine,2,Woody,"Tea, Orange","Lotus, Musk","Guaiac Wood, Amber",
Bvlgari,Aqua Pour Homme Marine,EDT,100ml,BVLGARI-AQUA-POUR-HOMME-MARINE-EDT-100ML,,$95.00,,Masculine,2,Fresh/Aquatic,"Neroli, Mandarin, Grapefruit","Posidonia, Mineral Notes","Amber, Woods",
Montblanc,Legend,EDT,50ml,MONTBLANC-LEGEND-EDT-50ML,,$65.00,,Masculine,3,Fougère,"Bergamot, Lavender, Pineapple, Verbena","Rose, Apple, Oakmoss, Dried Fruits","Tonka Bean, Sandalwood, Evernyl",
Perry Ellis,360° Very Blue For Men,EDT,100ml,PERRY-ELLIS-360-VERY-BLUE-FOR-MEN-EDT-100ML,,$55.00,,Masculine,3,Fresh/Aquatic,,,,
Perry Ellis,360° Red For Men,EDT,100ml,PERRY-ELLIS-360-RED-FOR-MEN-EDT-100ML,,$55.00,,Masculine,1,Woody,"Lime, Bergamot, Cinnamon, Orange, Mandarin Orange, Cloves, Nutmeg","Lavender, Coriander","Musk, Patchouli, Vetiver, Sandalwood, Juniper, Oakmoss",
Perry Ellis,360°,EDT,100ml,PERRY-ELLIS-360-EDT-100ML,,$55.00,,Masculine,3,Aromatic,"Melon, Lily, Osmanthus, Tangerine, Rose","Lily of the Valley, Water Lily, Lavender, Sage","Musk, Sandalwood, Vetiver, Amber, Vanilla",
Perry Ellis,360° White,EDT,100ml,PERRY-ELLIS-360-WHITE-EDT-100ML,,$55.00,,Masculine,3,Fresh/Aquatic,"Lime, Bergamot, Cardamom","Orange Blossom, Lily of the Valley, Orris Root","Vanilla, Tonka Bean, Musk, Cedar",
Perry Ellis,360° Red for Women,EDP,100ml,PERRY-ELLIS-360-RED-FOR-WOMEN-EDP-100ML,,$55.00,,Feminine,2,Floral,"Cyclamen, Petitgrain, Plum","Orchid, Mimosa, Orange Blossom, Jasmine","Amber, Musk",
Antonio Puig,Quorum,EDT,100ml,ANTONIO-PUIG-QUORUM-EDT-100ML,,$45.00,,Masculine,1,Chypre,"Artemisia, Juniper, Lemon, Pine","Carnation, Cinnamon, Sage","Oakmoss, Leather, Patchouli, Tobacco",
Parfums Des Champs,Cuba Red For Men,EDT,100ml,PARFUMS-DES-CHAMPS-CUBA-RED-FOR-MEN-EDT-100ML,,$25.00,,Masculine,1,Aromatic,,,,
COTY,Aspen,,118ml,COTY-ASPEN-118ML,,$35.00,,Masculine,1,Aromatic,"Lemon, Bergamot, Juniper","Pine, Jasmine, Cyclamen","Cedar, Musk, Amber",
USHER,USHER,EDT,100ml,USHER-USHER-EDT-100ML,,$55.00,,Masculine,1,Woody,"Melon, Pineapple, Lemon Verbena","Pepper, Lavender, Vetiver, Violet Leaf","Suede, Sandalwood, Guaiac Wood, Musk, Amber",
Calvin Klein,Obsession For Men,EDT,125ml,CALVIN-KLEIN-OBSESSION-FOR-MEN-EDT-125ML,,$75.00,,Masculine,3,Amber/Oriental,"Mandarin, Bergamot, Lavender, Basil","Nutmeg, Coriander, Sage, Clary Sage","Sandalwood, Amber, Musk, Vanilla",
Jean Paul Gaultier,"""Le Male"" Elixir",EDP,75ml,JEAN-PAUL-GAULTIER-LE-MALE-ELIXIR-EDP-75ML,,$155.00,,Masculine,1,Gourmand,"Lavender, Mint","Honey, Benzoin","Vanilla, Tonka Bean, Amber",
Jean Paul Gaultier,"""Le Male"" Elixir",EDP,125ml,JEAN-PAUL-GAULTIER-LE-MALE-ELIXIR-EDP-125ML,,$165.00,,Masculine,1,Gourmand,"Lavender, Mint","Honey, Benzoin","Vanilla, Tonka Bean, Amber",
Jean Paul Gaultier,"""Le Male"" Le Parfum",EDP Intense,125ml,JEAN-PAUL-GAULTIER-LE-MALE-LE-PARFUM-EDP-INTENSE-125ML,,$165.00,,Masculine,1,Amber/Oriental,"Lavender, Cardamom","Iris, Amber","Vanilla, Tonka Bean, Benzoin",
Calvin Klein,Escape For Men,EDT,50ml,CALVIN-KLEIN-ESCAPE-FOR-MEN-EDT-50ML,,$55.00,,Masculine,1,Aromatic,"Mandarin, Bergamot, Juniper","Cucumber, Sage, Coriander","Sandalwood, Musk, Patchouli",
